v1,v2,v16,v17,v18,v19,v20,v21,v22,v23
KS,2010,1,0,0,0,0,0,0,0
LA,2010,0,1,0,0,0,1,0,0
MD,2010,0,1,0,0,0,0,0,0
NV,2010,0,2,0,0,0,0,0,0
NC,2010,0,0,0,0,0,1,0,0
OK,2010,0,2,0,0,0,1,1,0
VT,2010,0,0,0,0,0,1,0,0
WA,2010,0,1,0,0,0,0,0,0
ME ,2011,0,0,0,0,0,1,1,0
MS ,2011,0,0,0,0,0,1,0,0
OH ,2011,0,1,0,0,0,0,0,0
WA ,2011,0,0,0,0,0,1,0,0
AL ,2012,0,0,0,0,0,1,0,0
AZ ,2012,0,1,0,0,0,1,0,0
CO ,2012,0,0,0,0,0,1,0,0
FL ,2012,0,1,1,1,0,0,0,1
GA ,2012,0,1,0,0,0,0,0,0
HI ,2012,0,1,0,0,0,0,0,0
LA ,2012,1,0,0,0,0,0,0,0
MD ,2012,0,2,0,0,0,0,0,0
MN ,2012,0,0,0,0,0,1,0,1
MO ,2012,0,1,0,1,0,0,0,0
NH ,2012,0,1,0,0,0,0,0,0
NJ ,2012,0,1,0,0,0,0,0,0
NM ,2012,0,1,0,0,0,0,0,0
NC ,2012,0,0,0,0,0,0,0,1
OH ,2012,0,0,0,0,0,1,1,0
WY ,2012,0,1,0,0,0,0,0,0
DE ,2013,0,1,0,0,0,1,0,0
NY ,2013,0,1,0,0,0,0,0,0
TX ,2013,0,1,0,0,0,0,0,0
AL,2014,1,0,0,0,0,0,0,1
CT,2014,0,0,0,0,0,1,0,0
FL,2014,0,1,0,0,0,0,0,0
IL,2014,0,0,0,0,0,1,0,0
MD,2014,0,0,0,0,0,1,0,0
MO,2014,1,1,0,0,0,2,0,0
NV,2014,0,1,0,0,0,0,0,0
NJ,2014,0,1,0,0,0,0,0,0
NM,2014,0,1,0,0,0,2,0,0
NY,2014,0,0,0,0,0,2,1,0
ND,2014,0,0,0,0,0,2,0,0
OR,2014,0,1,0,0,0,0,0,0
RI,2014,0,0,0,0,0,1,0,0
SC,2014,0,0,0,0,0,1,0,0
TN,2014,0,1,1,0,0,0,0,0
UT,2014,0,0,0,0,0,1,0,0
DE,2015,0,1,0,0,0,0,0,0
LA,2015,0,1,0,0,0,0,0,0
MS,2015,0,0,0,0,0,1,0,0
OH,2015,0,0,0,0,0,1,1,0
WI,2015,0,1,0,0,0,0,0,0
AL,2016,0,4,0,0,0,0,0,0
CA,2016,0,0,0,0,0,1,0,0
CO,2016,0,0,0,0,0,1,0,0
GA,2016,0,1,0,0,0,0,0,0
LA,2016,0,0,0,0,0,1,0,0
MO,2016,0,1,0,0,0,2,0,0
ND,2016,0,0,0,0,0,1,0,0
OK,2016,1,0,0,0,0,0,0,0
OR,2016,0,1,0,0,0,0,0,0
PA,2016,0,2,0,0,0,0,0,0
SD,2016,0,0,0,0,0,2,1,0
WA,2016,0,0,0,0,0,1,1,0
AL,2017,0,1,0,0,0,1,0,0
DE,2017,0,2,0,0,0,0,0,0
NY,2017,0,1,0,0,0,0,0,0
TX,2017,0,1,0,0,0,0,0,0
AL,2018,0,0,1,0,0,0,0,0
AR,2018,0,0,0,0,0,1,0,0
CA,2018,0,0,0,0,0,0,0,2
CO,2018,0,1,0,0,0,4,2,0
FL,2018,0,1,0,0,0,1,0,1
GA,2018,0,1,0,0,0,0,0,0
LA,2018,0,0,0,0,0,0,0,1
MD,2018,0,0,0,0,0,1,0,0
MI,2018,0,0,0,0,0,2,1,0
MO,2018,0,0,0,0,0,1,1,0
NM,2018,0,1,0,0,0,0,0,0
NC,2018,0,1,0,0,0,2,0,0
ND,2018,0,0,0,0,0,1,0,0
OH,2018,0,0,0,0,0,1,1,0
OR,2018,0,0,1,0,0,0,0,0
SC,2018,0,0,0,0,0,1,0,0
SD,2018,0,0,0,0,0,1,0,0
WV,2018,0,0,1,0,0,0,0,0
KS,2019,0,0,0,0,0,1,1,0
TX,2019,0,1,0,0,0,0,0,0
AL,2020,0,2,0,0,0,0,0,0
AR,2020,0,0,0,0,0,1,0,0
CA,2020,0,0,0,0,0,2,0,0
FL,2020,0,0,0,0,0,3,0,0
GA ,2020,0,1,0,0,0,0,0,0
ID,2020,0,0,0,0,0,1,0,0
LA,2020,0,1,1,0,0,0,0,0
MS,2020,0,0,0,0,0,1,0,0
MO,2020,0,0,0,0,0,1,1,0
NV,2020,0,0,0,0,0,1,0,1
NJ,2020,0,0,0,0,0,1,0,0
NM,2020,0,1,0,0,0,1,0,0
ND,2020,0,0,0,0,0,1,0,0
OR,2020,0,1,0,0,0,1,0,0
SD,2020,0,1,0,0,0,0,0,0
VA,2020,0,0,0,0,0,1,1,0
NY,2021,0,1,0,0,0,3,1,0
TX,2021,0,2,0,1,0,0,0,0
AR,2022,0,0,0,1,0,0,0,0
CA,2022,0,0,1,0,0,0,0,0
CT,2022,0,0,0,0,0,1,0,0
KS,2022,0,0,1,0,0,0,0,0
KY,2022,0,0,1,0,0,0,0,0
LA,2022,0,0,0,0,0,1,0,0
MI,2022,0,0,1,0,0,1,0,0
NE,2022,0,0,0,0,0,1,0,0
NV,2022,0,0,0,0,0,2,0,1
OH,2022,0,0,0,0,0,1,0,0
VT,2022,0,0,1,0,0,0,0,0
WV,2022,0,1,0,0,0,0,0,0
WY,2022,0,1,0,0,0,0,0,0
LA,2023,0,0,0,0,0,1,0,0
ME,2023,0,2,0,0,0,1,0,0
OH,2023,0,0,1,0,0,0,0,0
TX,2023,0,1,0,0,0,0,0,0
WI,2023,0,2,0,0,0,0,0,0
AZ,2024,0,2,1,0,0,3,0,0
AR,2024,0,0,0,0,0,1,0,0
CA,2024,0,0,0,0,0,1,0,1
CO,2024,0,1,1,0,0,0,0,1
CT,2024,0,0,0,0,0,1,0,0
FL,2024,0,0,1,0,0,2,0,0
GA,2024,0,1,0,0,0,0,0,0
HI,2024,0,1,0,0,0,0,0,1
ID,2024,0,0,0,0,0,1,0,0
IA,2024,0,0,0,0,0,1,0,0
KY,2024,0,0,0,0,0,1,0,0
LA,2024,0,1,0,0,0,0,0,0
MO,2024,0,0,1,0,0,1,0,0
MT,2024,0,0,1,0,0,2,0,0
NE,2024,0,0,2,0,0,0,0,0
NV,2024,0,0,1,0,0,1,0,0
NH,2024,0,1,0,0,0,0,0,0
NM,2024,0,1,0,0,0,0,0,0
NC,2024,0,0,0,0,0,1,0,0
OH,2024,0,0,0,0,0,1,1,0
OK,2024,0,0,0,0,0,1,0,0
SC,2024,0,0,0,0,0,1,0,0
SD,2024,0,0,1,0,0,1,0,0
UT,2024,0,0,0,0,0,1,0,0
WI,2024,0,0,0,0,0,3,0,0
